,y,x,osmid,highway,geometry
5304682194,1.3661627,103.9209267,5304682194,,POINT (103.9209267 1.3661627)
5304682195,1.3653948,103.92171,5304682195,,POINT (103.92171 1.3653948)
5304682196,1.3662846,103.9212499,5304682196,,POINT (103.9212499 1.3662846)
5304682197,1.3680341,103.9206475,5304682197,,POINT (103.9206475 1.3680341)
5304682198,1.3677754,103.9207963,5304682198,,POINT (103.9207963 1.3677754)
5304682202,1.3674161,103.9218537,5304682202,,POINT (103.9218537 1.3674161)
5304682203,1.3678429,103.922055,5304682203,,POINT (103.922055 1.3678429)
5256644347,1.3869528,103.9236903,5256644347,,POINT (103.9236903 1.3869528)
5256644348,1.3869589,103.923356,5256644348,,POINT (103.923356 1.3869589)
4005070603,1.4082336,103.8970826,4005070603,,POINT (103.8970826 1.4082336)
4598826774,1.3965268,103.8932483,4598826774,,POINT (103.8932483 1.3965268)
6518343447,1.364184,103.9088003,6518343447,,POINT (103.9088003 1.364184)
3865151259,1.3883582,103.89672,3865151259,,POINT (103.89672 1.3883582)
3865151260,1.3883211,103.8968028,3865151260,,POINT (103.8968028 1.3883211)
6518343453,1.3647586,103.9086056,6518343453,,POINT (103.9086056 1.3647586)
3781986078,1.4144664,103.916345,3781986078,,POINT (103.916345 1.4144664)
3865151261,1.4034314,103.9112883,3865151261,,POINT (103.9112883 1.4034314)
368379680,1.3949473,103.8872826,368379680,,POINT (103.8872826 1.3949473)
3865151267,1.4038478,103.9107273,3865151267,,POINT (103.9107273 1.4038478)
3865151269,1.4038826,103.9111292,3865151269,,POINT (103.9111292 1.4038826)
3865151270,1.4038829,103.9112305,3865151270,,POINT (103.9112305 1.4038829)
3865151271,1.4223717,103.8655045,3865151271,,POINT (103.8655045 1.4223717)
4492003112,1.3684853,103.9364766,4492003112,,POINT (103.9364766 1.3684853)
3781986089,1.4162162,103.9152853,3781986089,,POINT (103.9152853 1.4162162)
3865151272,1.4229537,103.8650126,3865151272,,POINT (103.8650126 1.4229537)
4598826796,1.394186,103.8902506,4598826796,,POINT (103.8902506 1.394186)
4598826799,1.3940549,103.8904115,4598826799,crossing,POINT (103.8904115 1.3940549)
5689673521,1.3676937,103.8961074,5689673521,,POINT (103.8961074 1.3676937)
5689673522,1.3692318,103.8972675,5689673522,,POINT (103.8972675 1.3692318)
5689673523,1.3692354,103.8973508,5689673523,,POINT (103.8973508 1.3692354)
4598826802,1.3940024,103.8906378,4598826802,crossing,POINT (103.8906378 1.3940024)
4598826805,1.3941188,103.890893,4598826805,,POINT (103.890893 1.3941188)
4598826806,1.3942563,103.8908126,4598826806,,POINT (103.8908126 1.3942563)
