,u,v,key,osmid,bridge,oneway,length,geometry,service
584,1839722278,1839722279,0,218215448,yes,False,28.209,"LINESTRING (103.9178844 1.3985882, 103.9176878 1.3987486)",
585,1839722279,1839722278,0,218215448,yes,False,28.209,"LINESTRING (103.9176878 1.3987486, 103.9178844 1.3985882)",
586,1839722279,2274878319,0,218215448,yes,False,90.707,"LINESTRING (103.9176878 1.3987486, 103.9170334 1.3992359)",
587,1839722280,411102713,0,173144832,yes,False,17.166,"LINESTRING (103.897014 1.4036187, 103.8971042 1.4034934)",
588,1839722280,411102715,0,173144832,yes,False,17.537,"LINESTRING (103.897014 1.4036187, 103.8969517 1.4037636)",
589,2274884395,2274884080,0,218215448,yes,False,87.937,"LINESTRING (103.9081781 1.4056214, 103.9088171 1.4051552)",
590,2274884395,411686455,0,218215448,yes,False,89.007,"LINESTRING (103.9081781 1.4056214, 103.9075124 1.4060662)",
591,2274882348,2274882210,0,218215447,yes,False,18.325,"LINESTRING (103.9010537 1.4027482, 103.9009932 1.4025949)",
592,2274882348,2274883438,0,218215447,yes,False,151.263,"LINESTRING (103.9010537 1.4027482, 103.9017148 1.4039372)",
593,242967350,2274881168,0,173144841,yes,False,332.416,"LINESTRING (103.8987239 1.3985463, 103.9001598 1.4011686)",yard
594,242967350,242967334,0,173144841,yes,False,45.145,"LINESTRING (103.8987239 1.3985463, 103.8985281 1.3981906)",yard
595,1167584060,1712357030,0,173144832,yes,False,28.45,"LINESTRING (103.90727 1.4164667, 103.9070567 1.4166081)",
596,1167584060,2274884971,0,173144832,yes,False,18.422,"LINESTRING (103.90727 1.4164667, 103.9073933 1.416356)",
597,1167584063,2274884971,0,173144832,yes,False,26.575,"LINESTRING (103.9075546 1.4161796, 103.9073933 1.416356)",
598,1167584063,2274884962,0,173144832,yes,False,18.58,"LINESTRING (103.9075546 1.4161796, 103.9076404 1.4160362)",
599,1167584068,2274884962,0,173144832,yes,False,24.026,"LINESTRING (103.9077253 1.4158375, 103.9076404 1.4160362)",
600,1167584068,2274884955,0,173144832,yes,False,20.871,"LINESTRING (103.9077253 1.4158375, 103.9077576 1.4156526)",
601,1167584069,2274884948,0,173144832,yes,False,32.905,"LINESTRING (103.9076678 1.4149117, 103.907753 1.4151951)",
602,1167584069,411102758,0,173144832,yes,False,41.974,"LINESTRING (103.9076678 1.4149117, 103.9075046 1.4145713)",
603,7114440518,2274884966,0,173144836,yes,False,29.891,"LINESTRING (103.9021003 1.4159493, 103.902274 1.4161545)",
604,7114440518,2274884959,0,173144836,yes,False,25.291,"LINESTRING (103.9021003 1.4159493, 103.9019533 1.4157757)",
605,7114440519,1712357001,0,173144832,yes,False,22.694,"LINESTRING (103.9021722 1.4158934, 103.9020426 1.4157357)",
606,7114440519,411102735,0,173144832,yes,False,29.305,"LINESTRING (103.9021722 1.4158934, 103.9023396 1.416097)",
607,2274874212,242967233,0,173144843,yes,False,19.168,"LINESTRING (103.8973249 1.3958685, 103.8972168 1.3957342)",yard
608,2274874212,2274874316,0,173144843,yes,False,19.491,"LINESTRING (103.8973249 1.3958685, 103.8974136 1.3960197)",yard
609,2274882410,2274883439,0,218215448,yes,False,147.251,"LINESTRING (103.9009723 1.4027797, 103.9016149 1.4039377)",
610,2274882410,2274882207,0,218215448,yes,False,22.031,"LINESTRING (103.9009723 1.4027797, 103.9009071 1.4025926)",
611,2274875243,2274875340,0,218215447,yes,False,19.572,"LINESTRING (103.9180273 1.397257, 103.9181057 1.3974146)",
612,2274875243,2274873995,0,218215447,yes,False,224.337,"LINESTRING (103.9180273 1.397257, 103.9168561 1.395614)",
613,2274883438,2274883134,0,173144836,yes,False,33.426,"LINESTRING (103.9017148 1.4039372, 103.9016317 1.4036483)",
614,2274883438,2274883752,0,218215444,yes,False,57.143,"LINESTRING (103.9017148 1.4039372, 103.9019645 1.4043864)",
615,2274883438,2274882348,0,218215447,yes,False,151.263,"LINESTRING (103.9017148 1.4039372, 103.9010537 1.4027482)",
616,2274878319,1839722279,0,218215448,yes,False,90.707,"LINESTRING (103.9170334 1.3992359, 103.9176878 1.3987486)",
617,2274878319,1839721821,0,218215448,yes,False,58.952,"LINESTRING (103.9170334 1.3992359, 103.9166075 1.3995518)",
618,2274883439,2274883357,0,173144832,yes,False,21.21,"LINESTRING (103.9016149 1.4039377, 103.9014852 1.4037978)",
619,2274883439,2274883772,0,218215445,yes,False,61.546,"LINESTRING (103.9016149 1.4039377, 103.9018835 1.4044217)",
620,2274883439,2274882410,0,218215448,yes,False,147.251,"LINESTRING (103.9016149 1.4039377, 103.9009723 1.4027797)",
621,2274881393,2274881297,0,218215447,yes,False,42.398,"LINESTRING (103.9018846 1.401584, 103.902226 1.401414)",
622,2274881393,2274881651,0,218215447,yes,False,66.54,"LINESTRING (103.9018846 1.401584, 103.9013526 1.4018583)",
623,2274872182,1839721776,0,218215448,yes,False,67.798,"LINESTRING (103.9129659 1.393569, 103.9124907 1.3939512)",
624,2274872182,2274872011,0,218215448,yes,False,46.983,"LINESTRING (103.9129659 1.393569, 103.9133086 1.3933217)",
625,411686774,411686469,0,218215448,yes,False,17.611,"LINESTRING (103.914161 1.3927763, 103.9140083 1.3928185)",
626,411686774,2274871698,0,218215448,yes,False,18.524,"LINESTRING (103.914161 1.3927763, 103.9143261 1.3927537)",
627,2274872186,2274872290,0,218215447,yes,False,45.712,"LINESTRING (103.9154029 1.393586, 103.9156439 1.3939191)",
628,2274872186,2274872007,0,218215447,yes,False,37.736,"LINESTRING (103.9154029 1.393586, 103.9151979 1.3933155)",
629,2274883456,411102715,0,173144832,yes,False,24.04,"LINESTRING (103.8969103 1.4039758, 103.8969517 1.4037636)",
630,2274883456,411102718,0,173144832,yes,False,22.23,"LINESTRING (103.8969103 1.4039758, 103.8969466 1.4041724)",
631,2274874241,1839722261,0,173144841,yes,False,17.829,"LINESTRING (103.8972902 1.3959149, 103.8973814 1.3960468)",yard
632,2274874241,1839722253,0,173144841,yes,False,16.701,"LINESTRING (103.8972902 1.3959149, 103.8971938 1.3957997)",yard
633,2274882434,2274883357,0,173144832,yes,False,126.541,"LINESTRING (103.9009349 1.4028016, 103.9014852 1.4037978)",
634,2274882434,2274882241,0,173144832,yes,False,23.782,"LINESTRING (103.9009349 1.4028016, 103.900802 1.402634)",
635,2274875267,2274874856,0,218215447,yes,False,106.49,"LINESTRING (103.9085976 1.3973005, 103.9093106 1.3966609)",
636,2274875267,2274875509,0,218215447,yes,False,77.302,"LINESTRING (103.9085976 1.3973005, 103.9080459 1.3977237)",
637,2274883463,2274883603,0,173144836,yes,False,22.839,"LINESTRING (103.8968137 1.4039861, 103.8968498 1.4041883)",
638,2274883463,2274883267,0,173144836,yes,False,26.77,"LINESTRING (103.8968137 1.4039861, 103.8968382 1.4037466)",
639,2274872200,2274872054,0,218215447,yes,False,46.515,"LINESTRING (103.9130235 1.3936325, 103.9133323 1.3933502)",
640,2274872200,2274872331,0,218215447,yes,False,68.867,"LINESTRING (103.9130235 1.3936325, 103.9125485 1.3940301)",
641,2274882440,411686458,0,218215448,yes,False,107.509,"LINESTRING (103.9120932 1.4028062, 103.9128752 1.4022373)",
642,2274882440,2274882786,0,218215448,yes,False,78.615,"LINESTRING (103.9120932 1.4028062, 103.9115091 1.4032048)",
643,5843925904,2274884988,0,601849934,yes,False,10.031,"LINESTRING (103.9064079 1.4170203, 103.9064912 1.4169856)",
644,5843925904,4946665704,0,601849934,yes,False,22.622,"LINESTRING (103.9064079 1.4170203, 103.9062269 1.4171133)",
645,2274874260,2274874503,0,218215443,yes,False,28.301,"LINESTRING (103.9100725 1.3959432, 103.9099102 1.3961393)",
646,2274874260,2274874973,0,218215448,yes,False,159.026,"LINESTRING (103.9100725 1.3959432, 103.9089612 1.3968438)",
647,2274874260,411686018,0,218215448,yes,False,142.343,"LINESTRING (103.9100725 1.3959432, 103.9110583 1.3951262)",
648,5379987371,5379987376,0,173144836,yes,False,6.602,"LINESTRING (103.9041423 1.4173628, 103.9041977 1.4173842)",
649,5379987371,2274885001,0,173144836,yes,False,3.303,"LINESTRING (103.9041423 1.4173628, 103.9041162 1.4173486)",
650,6532012974,2274884868,0,601849934,yes,False,151.947,"LINESTRING (103.9070486 1.4134907, 103.9064437 1.4122653)",
651,6532012974,2274884874,0,601849934,yes,False,128.824,"LINESTRING (103.9070486 1.4134907, 103.9075719 1.4145244)",
652,6532012975,2274884820,0,601849934,yes,False,166.828,"LINESTRING (103.9045758 1.4090893, 103.9038273 1.4077889)",
653,6532012975,2274884858,0,601849934,yes,False,98.783,"LINESTRING (103.9045758 1.4090893, 103.905019 1.4098593)",
654,6532012975,6532012976,0,695617197,yes,False,17.492,"LINESTRING (103.9045758 1.4090893, 103.904475 1.4089685)",crossover
655,6532012976,6532012975,0,695617197,yes,False,17.492,"LINESTRING (103.904475 1.4089685, 103.9045758 1.4090893)",crossover
656,6532012976,6532012978,0,695617197,yes,False,29.623,"LINESTRING (103.904475 1.4089685, 103.9042819 1.4087849)",crossover
657,6532012977,6532012981,0,695617198,yes,False,26.176,"LINESTRING (103.9044642 1.4090704, 103.9046017 1.4092615)",yard
658,6532012977,6532012978,0,695617198,yes,False,37.663,"LINESTRING (103.9044642 1.4090704, 103.9042819 1.4087849)",yard
659,6532012978,6532012976,0,695617197,yes,False,29.623,"LINESTRING (103.9042819 1.4087849, 103.904475 1.4089685)",crossover
660,6532012978,6532012977,0,695617198,yes,False,37.663,"LINESTRING (103.9042819 1.4087849, 103.9044642 1.4090704)",yard
661,6532012978,6532012979,0,695617198,yes,False,27.415,"LINESTRING (103.9042819 1.4087849, 103.9041652 1.4085677)",yard
662,6532012979,6532012978,0,695617198,yes,False,27.415,"LINESTRING (103.9041652 1.4085677, 103.9042819 1.4087849)",yard
663,6532012979,6532012980,0,695617198,yes,False,29.753,"LINESTRING (103.9041652 1.4085677, 103.9040525 1.408325)",yard
664,6532012980,6532012979,0,695617198,yes,False,29.753,"LINESTRING (103.9040525 1.408325, 103.9041652 1.4085677)",yard
665,6532012980,6532027386,0,695617198,yes,False,29.683,"LINESTRING (103.9040525 1.408325, 103.9039573 1.4080756)",yard
666,6532012981,411102763,0,173144832,yes,False,59.208,"LINESTRING (103.9046017 1.4092615, 103.9048658 1.4097239)",
667,6532012981,6532012982,0,173144832,yes,False,33.849,"LINESTRING (103.9046017 1.4092615, 103.9043925 1.4090403)",
668,6532012981,6532012977,0,695617198,yes,False,26.176,"LINESTRING (103.9046017 1.4092615, 103.9044642 1.4090704)",yard
669,6532012982,6532012981,0,173144832,yes,False,33.849,"LINESTRING (103.9043925 1.4090403, 103.9046017 1.4092615)",
670,6532012982,6532012983,0,173144832,yes,False,58.97,"LINESTRING (103.9043925 1.4090403, 103.9041367 1.4085757)",
671,6532012983,6532012982,0,173144832,yes,False,58.97,"LINESTRING (103.9041367 1.4085757, 103.9043925 1.4090403)",
672,6532012983,6532012984,0,173144832,yes,False,29.383,"LINESTRING (103.9041367 1.4085757, 103.9040294 1.4083342)",
673,6532012984,6532012983,0,173144832,yes,False,29.383,"LINESTRING (103.9040294 1.4083342, 103.9041367 1.4085757)",
674,6532012984,6532027385,0,173144832,yes,False,29.906,"LINESTRING (103.9040294 1.4083342, 103.9039384 1.4080811)",
675,5379987376,2274885007,0,173144836,yes,False,24.46,"LINESTRING (103.9041977 1.4173842, 103.9044077 1.4174499)",
676,5379987376,5379987371,0,173144836,yes,False,6.602,"LINESTRING (103.9041977 1.4173842, 103.9041423 1.4173628)",
677,5379987383,4946665704,0,173144836,yes,False,12.734,"LINESTRING (103.9061235 1.4171626, 103.9062269 1.4171133)",
678,5379987383,2274884992,0,173144836,yes,False,14.152,"LINESTRING (103.9061235 1.4171626, 103.9060086 1.4172174)",
679,2274881467,2274881889,0,218215447,yes,False,91.438,"LINESTRING (103.9134932 1.4017105, 103.9128156 1.4021767)",
680,2274881467,2274880211,0,218215447,yes,False,232.743,"LINESTRING (103.9134932 1.4017105, 103.9151945 1.4004905)",
681,2274882492,2274882141,0,173144832,yes,False,123.977,"LINESTRING (103.8986071 1.4028717, 103.8996596 1.4025029)",
682,2274882492,2274882753,0,173144832,yes,False,101.88,"LINESTRING (103.8986071 1.4028717, 103.8977422 1.4031748)",
683,2274882492,2274882519,0,218215437,yes,False,27.475,"LINESTRING (103.8986071 1.4028717, 103.8983604 1.4028868)",
684,2274876348,2274876505,0,218215447,yes,False,19.042,"LINESTRING (103.9180847 1.3982851, 103.9179891 1.3984272)",
685,2274876348,2274875914,0,218215447,yes,False,19.727,"LINESTRING (103.9180847 1.3982851, 103.9181457 1.3981185)",
686,2274875333,411686463,0,218215448,yes,False,27.369,"LINESTRING (103.9181573 1.3974027, 103.9180297 1.3971922)",
687,2274875333,1839722275,0,218215448,yes,False,27.912,"LINESTRING (103.9181573 1.3974027, 103.9182171 1.3976465)",
688,2274874316,2274874212,0,173144843,yes,False,19.491,"LINESTRING (103.8974136 1.3960197, 103.8973249 1.3958685)",yard
689,2274874316,2274874620,0,173144843,yes,False,40.51,"LINESTRING (103.8974136 1.3960197, 103.8975878 1.3963397)",yard
690,2274874317,2274873645,0,218215447,yes,False,143.155,"LINESTRING (103.9101243 1.396021, 103.9111185 1.3952027)",
691,2274874317,2274874856,0,218215447,yes,False,115.085,"LINESTRING (103.9101243 1.396021, 103.9093106 1.3966609)",
692,2274875340,2274875469,0,218215447,yes,False,27.959,"LINESTRING (103.9181057 1.3974146, 103.9181794 1.397655)",
693,2274875340,2274875243,0,218215447,yes,False,19.572,"LINESTRING (103.9181057 1.3974146, 103.9180273 1.397257)",
694,2274882519,2274882492,0,218215437,yes,False,27.475,"LINESTRING (103.8983604 1.4028868, 103.8986071 1.4028717)",
695,2274882519,411102710,0,218215439,yes,False,25.692,"LINESTRING (103.8983604 1.4028868, 103.8985451 1.4027479)",
696,2274882519,2274882628,0,218215440,yes,False,50.535,"LINESTRING (103.8983604 1.4028868, 103.8979304 1.4030343)",
697,2274884573,2274884357,0,218215444,yes,False,41.641,"LINESTRING (103.9027954 1.405906, 103.9026898 1.4055467)",
