,u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,lanes,service,bridge,access,tunnel,junction
1274,4005057149,4005057228,0,"[704873860, 704873861, 704873862, 704841812, 539311733, 539311734]",False,,service,,152.19499999999994,"LINESTRING (103.9003089 1.4065695, 103.9006039 1.4064574, 103.9006441 1.4064608, 103.9006776 1.4064849, 103.9006984 1.4065164, 103.9007333 1.4065754, 103.9007944 1.40669, 103.900819 1.4067234, 103.9008398 1.4067365, 103.9008938 1.4067554, 103.9009134 1.4067716, 103.9009211 1.4067877, 103.9009275 1.4068085, 103.9009637 1.4069777, 103.9009637 1.4070069, 103.9009596 1.4070285, 103.9009298 1.4070583, 103.9009069 1.4070779, 103.900881 1.4070922, 103.9008324 1.4071038, 103.9008082 1.4071136, 103.9007909 1.4071314, 103.9007358 1.4072383)",2,driveway,,,,
1275,4005057149,4005058427,0,"[704873856, 704873857, 704873858, 704873859, 397727232, 704873847, 704873848, 704873849, 704873850, 704873851, 704873852, 704873853, 704873854, 704873855]",False,,service,,335.435,"LINESTRING (103.9003089 1.4065695, 103.9004396 1.4067953, 103.9005053 1.4069012, 103.9005171 1.406923, 103.9005163 1.4069433, 103.9004584 1.4070487, 103.900398 1.4071464, 103.9003718 1.4071626, 103.9002112 1.4071929, 103.9001778 1.4071839, 103.9001525 1.4071695, 103.9000149 1.4070981, 103.8999932 1.4070918, 103.8999644 1.4070947, 103.8997728 1.4072173, 103.899755 1.407248, 103.8997575 1.4072679, 103.8997746 1.4073361, 103.8997759 1.4073613, 103.8997731 1.4073798, 103.8997154 1.4074844, 103.8996574 1.4075734, 103.8996217 1.407601, 103.8995755 1.4076138, 103.8995148 1.4076074, 103.8993234 1.4075345, 103.8992842 1.407524, 103.8992475 1.4075205, 103.8992098 1.4075362, 103.8990572 1.4076418, 103.8990446 1.4076716, 103.8990446 1.4077077, 103.899059 1.4077607, 103.8990563 1.4078018, 103.899024 1.4078539, 103.8989105 1.4079977, 103.8988999 1.4080083, 103.8988855 1.4080205, 103.8988625 1.4080408, 103.8988423 1.4080596, 103.8988222 1.4080857, 103.8988115 1.4081085, 103.8988055 1.4081279, 103.8988001 1.4081487)",2,driveway,,,,
1276,4005057188,4005057228,0,397727231,False,,service,,31.182,"LINESTRING (103.90093 1.4071797, 103.9009249 1.4072326, 103.900896 1.4072725, 103.900858 1.4072917, 103.9008224 1.4072876, 103.9007358 1.4072383)",2,driveway,,,,
1277,4005057228,4005057188,0,397727231,False,,service,,31.181999999999995,"LINESTRING (103.9007358 1.4072383, 103.9008224 1.4072876, 103.900858 1.4072917, 103.900896 1.4072725, 103.9009249 1.4072326, 103.90093 1.4071797)",2,driveway,,,,
1278,4005057228,4005057149,0,"[704873860, 704873861, 704873862, 704841812, 539311733, 539311734]",False,,service,,152.195,"LINESTRING (103.9007358 1.4072383, 103.9007909 1.4071314, 103.9008082 1.4071136, 103.9008324 1.4071038, 103.900881 1.4070922, 103.9009069 1.4070779, 103.9009298 1.4070583, 103.9009596 1.4070285, 103.9009637 1.4070069, 103.9009637 1.4069777, 103.9009275 1.4068085, 103.9009211 1.4067877, 103.9009134 1.4067716, 103.9008938 1.4067554, 103.9008398 1.4067365, 103.900819 1.4067234, 103.9007944 1.40669, 103.9007333 1.4065754, 103.9006984 1.4065164, 103.9006776 1.4064849, 103.9006441 1.4064608, 103.9006039 1.4064574, 103.9003089 1.4065695)",2,driveway,,,,
1279,4005057228,4005057347,0,"[704840583, 704840584, 644255922, 704841813, 704841814]",False,,service,,112.122,"LINESTRING (103.9007358 1.4072383, 103.9006917 1.40731, 103.9006887 1.4073413, 103.9006918 1.4073666, 103.900748 1.4074696, 103.900791 1.4075499, 103.9008127 1.407578, 103.9008357 1.4075966, 103.90087 1.407603, 103.9011039 1.4075873, 103.9011394 1.4075718, 103.9011533 1.4075471, 103.9012126 1.4074409, 103.9012365 1.407421, 103.9013292 1.4073722)",2,driveway,,,,
1280,4005057347,5256742068,0,"[166523217, 166523220, 704840581]",False,Punggol Walk,residential,50,141.436,"LINESTRING (103.9013292 1.4073722, 103.9013813 1.4075073, 103.9017049 1.4082178, 103.9017543 1.4083268, 103.901851 1.408532)",2,,yes,,,
1281,4005057347,1167544116,0,"[476395121, 704840582]",False,Punggol Walk,residential,50,114.107,"LINESTRING (103.9013292 1.4073722, 103.9011445 1.4069211, 103.9009379 1.4064235)",2,,,,,
1282,4005057347,4005057228,0,"[704840583, 704840584, 644255922, 704841813, 704841814]",False,,service,,112.12200000000001,"LINESTRING (103.9013292 1.4073722, 103.9012365 1.407421, 103.9012126 1.4074409, 103.9011533 1.4075471, 103.9011394 1.4075718, 103.9011039 1.4075873, 103.90087 1.407603, 103.9008357 1.4075966, 103.9008127 1.407578, 103.900791 1.4075499, 103.900748 1.4074696, 103.9006918 1.4073666, 103.9006887 1.4073413, 103.9006917 1.40731, 103.9007358 1.4072383)",2,driveway,,,,
1283,4005057544,4005058411,0,465523918,False,,service,,30.959000000000003,"LINESTRING (103.8985127 1.4077731, 103.898546 1.4078503, 103.8986338 1.4080237)",2,driveway,,,,
1284,4005057927,5272422356,0,545533390,False,,service,,6.658,"LINESTRING (103.8988708 1.4077362, 103.8988195 1.4077671)",,driveway,,,,
1285,4005057927,4005058411,0,"[397727233, 545533380]",False,,service,,52.187999999999995,"LINESTRING (103.8988708 1.4077362, 103.8988977 1.4077912, 103.8988999 1.4078168, 103.8988951 1.407846, 103.8988839 1.4078678, 103.8988663 1.4078865, 103.8988482 1.4079008, 103.8988285 1.4079083, 103.8988067 1.4079093, 103.8987327 1.4079179, 103.8986971 1.4079264, 103.8986694 1.4079397, 103.8986524 1.4079572, 103.8986401 1.4079785, 103.8986348 1.4079982, 103.8986338 1.4080237)",,driveway,,,yes,
1286,4005057927,5272422355,0,"[545533383, 545533385, 545533387, 545533388, 644254992]",False,,service,,197.08800000000002,"LINESTRING (103.8988708 1.4077362, 103.8989601 1.4076823, 103.8993629 1.4074396, 103.8996929 1.4072407, 103.9000929 1.4069997, 103.9003892 1.4068211)",,driveway,,,yes,
1287,4005058411,4005058427,0,397727230,False,,service,,24.469,"LINESTRING (103.8986338 1.4080237, 103.898637 1.4080418, 103.8986471 1.4080647, 103.8986678 1.4080865, 103.8986944 1.4081041, 103.8987264 1.4081179, 103.8988001 1.4081487)",2,driveway,,,,
1288,4005058411,4005057927,0,"[397727233, 545533380]",False,,service,,52.188,"LINESTRING (103.8986338 1.4080237, 103.8986348 1.4079982, 103.8986401 1.4079785, 103.8986524 1.4079572, 103.8986694 1.4079397, 103.8986971 1.4079264, 103.8987327 1.4079179, 103.8988067 1.4079093, 103.8988285 1.4079083, 103.8988482 1.4079008, 103.8988663 1.4078865, 103.8988839 1.4078678, 103.8988951 1.407846, 103.8988999 1.4078168, 103.8988977 1.4077912, 103.8988708 1.4077362)",,driveway,,,yes,
1289,4005058411,4005057544,0,465523918,False,,service,,30.959000000000003,"LINESTRING (103.8986338 1.4080237, 103.898546 1.4078503, 103.8985127 1.4077731)",2,driveway,,,,
1290,4005058427,4005058411,0,397727230,False,,service,,24.469,"LINESTRING (103.8988001 1.4081487, 103.8987264 1.4081179, 103.8986944 1.4081041, 103.8986678 1.4080865, 103.8986471 1.4080647, 103.898637 1.4080418, 103.8986338 1.4080237)",2,driveway,,,,
1291,4005058427,6191130305,0,"[704873843, 704873844, 704873845, 644252758, 704873846]",False,,service,,84.07499999999999,"LINESTRING (103.8988001 1.4081487, 103.8987967 1.4081775, 103.8987967 1.4082151, 103.8988001 1.4082452, 103.8988366 1.4083331, 103.8988506 1.4083485, 103.8988696 1.4083556, 103.8989132 1.4083725, 103.8989317 1.4083825, 103.8989726 1.408444, 103.8990359 1.4085501, 103.8990685 1.4086356, 103.8990657 1.4086597, 103.8990571 1.4086849, 103.899024 1.408716, 103.8989667 1.4087562)",2,driveway,,,,
1292,4005058427,4005057149,0,"[397727232, 704873856, 704873857, 704873858, 704873859, 704873847, 704873848, 704873849, 704873850, 704873851, 704873852, 704873853, 704873854, 704873855]",False,,service,,335.43499999999995,"LINESTRING (103.8988001 1.4081487, 103.8988055 1.4081279, 103.8988115 1.4081085, 103.8988222 1.4080857, 103.8988423 1.4080596, 103.8988625 1.4080408, 103.8988855 1.4080205, 103.8988999 1.4080083, 103.8989105 1.4079977, 103.899024 1.4078539, 103.8990563 1.4078018, 103.899059 1.4077607, 103.8990446 1.4077077, 103.8990446 1.4076716, 103.8990572 1.4076418, 103.8992098 1.4075362, 103.8992475 1.4075205, 103.8992842 1.407524, 103.8993234 1.4075345, 103.8995148 1.4076074, 103.8995755 1.4076138, 103.8996217 1.407601, 103.8996574 1.4075734, 103.8997154 1.4074844, 103.8997731 1.4073798, 103.8997759 1.4073613, 103.8997746 1.4073361, 103.8997575 1.4072679, 103.899755 1.407248, 103.8997728 1.4072173, 103.8999644 1.4070947, 103.8999932 1.4070918, 103.9000149 1.4070981, 103.9001525 1.4071695, 103.9001778 1.4071839, 103.9002112 1.4071929, 103.9003718 1.4071626, 103.900398 1.4071464, 103.9004584 1.4070487, 103.9005163 1.4069433, 103.9005171 1.406923, 103.9005053 1.4069012, 103.9004396 1.4067953, 103.9003089 1.4065695)",2,driveway,,,,
1293,4005058467,4005058670,0,644251070,False,,service,,60.26700000000001,"LINESTRING (103.9014267 1.4085068, 103.9014112 1.4085161, 103.901379 1.4085684, 103.9013771 1.4085852, 103.9013771 1.4085973, 103.9014783 1.4087335, 103.9014935 1.4087508, 103.9015103 1.4087625, 103.9015342 1.4087665, 103.9016942 1.4087523, 103.9017293 1.4087579)",2,driveway,,,,
